x y pred
0.1000 0.5000 0.5895
0.1500 0.5000 0.6003
0.2000 0.5000 0.6098
0.2500 0.5000 0.6179
0.3000 0.5000 0.6246
0.3500 0.5000 0.6298
0.4000 0.5000 0.6336
0.4500 0.5000 0.6359
0.5000 0.5000 0.6366
0.5500 0.5000 0.6359
0.6000 0.5000 0.6336
0.6500 0.5000 0.6298
0.7000 0.5000 0.6246
0.7500 0.5000 0.6179
0.8000 0.5000 0.6098
0.8500 0.5000 0.6003
0.9000 0.5000 0.5895
0.9500 0.5000 0.5774
1.0000 0.5000 0.5641
1.0500 0.5000 0.5497
1.1000 0.5000 0.5343
1.1500 0.5000 0.5179
1.2000 0.5000 0.5007
-0.2000 0.5500 0.5696
-0.1500 0.5500 0.5849
-0.1000 0.5500 0.5988
-0.0500 0.5500 0.6112
-0.0000 0.5500 0.6219
0.0500 0.5500 0.6311
0.1000 0.5500 0.6385
0.1500 0.5500 0.6442
0.2000 0.5500 0.6482
0.2500 0.5500 0.6504
0.3000 0.5500 0.6508
0.3500 0.5500 0.6495
0.4000 0.5500 0.6466
0.4500 0.5500 0.6420
0.5000 0.5500 0.6359
0.5500 0.5500 0.6282
0.6000 0.5500 0.6191
0.6500 0.5500 0.6086
0.7000 0.5500 0.5968
0.7500 0.5500 0.5839
0.8000 0.5500 0.5699
0.8500 0.5500 0.5549
0.9000 0.5500 0.5390
0.9500 0.5500 0.5223
1.0000 0.5500 0.5050
1.0500 0.5500 0.4870
1.1000 0.5500 0.4685
1.1500 0.5500 0.4497
1.2000 0.5500 0.4305
-0.2000 0.6000 0.6367
-0.1500 0.6000 0.6500
-0.1000 0.6000 0.6613
-0.0500 0.6000 0.6706
-0.0000 0.6000 0.6778
0.0500 0.6000 0.6828
0.1000 0.6000 0.6856
0.1500 0.6000 0.6863
0.2000 0.6000 0.6847
0.2500 0.6000 0.6810
0.3000 0.6000 0.6753
0.3500 0.6000 0.6676
0.4000 0.6000 0.6580
0.4500 0.6000 0.6466
0.5000 0.6000 0.6336
0.5500 0.6000 0.6191
0.6000 0.6000 0.6032
0.6500 0.6000 0.5861
0.7000 0.6000 0.5679
0.7500 0.6000 0.5488
0.8000 0.6000 0.5290
0.8500 0.6000 0.5086
0.9000 0.6000 0.4877
0.9500 0.6000 0.4665
1.0000 0.6000 0.4451
1.0500 0.6000 0.4236
1.1000 0.6000 0.4022
1.1500 0.6000 0.3809
1.2000 0.6000 0.3599
-0.2000 0.6500 0.7011
-0.1500 0.6500 0.7125
-0.1000 0.6500 0.7213
-0.0500 0.6500 0.7276
-0.0000 0.6500 0.7312
0.0500 0.6500 0.7321
0.1000 0.6500 0.7304
0.1500 0.6500 0.7260
0.2000 0.6500 0.7190
0.2500 0.6500 0.7096
0.3000 0.6500 0.6978
0.3500 0.6500 0.6837
0.4000 0.6500 0.6676
0.4500 0.6500 0.6495
0.5000 0.6500 0.6298
0.5500 0.6500 0.6086
0.6000 0.6500 0.5861
0.6500 0.6500 0.5625
0.7000 0.6500 0.5380
0.7500 0.6500 0.5130
0.8000 0.6500 0.4875
0.8500 0.6500 0.4617
0.9000 0.6500 0.4359
0.9500 0.6500 0.4103
1.0000 0.6500 0.3850
1.0500 0.6500 0.3601
1.1000 0.6500 0.3359
1.1500 0.6500 0.3123
1.2000 0.6500 0.2895
-0.2000 0.7000 0.7624
-0.1500 0.7000 0.7718
-0.1000 0.7000 0.7781
-0.0500 0.7000 0.7814
-0.0000 0.7000 0.7815
0.0500 0.7000 0.7785
0.1000 0.7000 0.7723
0.1500 0.7000 0.7630
0.2000 0.7000 0.7508
0.2500 0.7000 0.7357
0.3000 0.7000 0.7180
0.3500 0.7000 0.6978
